/homes/bioinfo/bionano/Trib_cast_0002_september_2014/ncbi/pre_Tcas5.2_2.fasta to /homes/bioinfo/bionano/Trib_cast_0002_september_2014/ncbi/Tcas5.2_scaffolds.fasta
scaffold_230	scaffold_seqid177
scaffold_231	scaffold_seqid178
scaffold_232	scaffold_seqid179
scaffold_233	scaffold_seqid180
scaffold_234	scaffold_seqid181
scaffold_235	scaffold_seqid182
scaffold_236	scaffold_seqid183
scaffold_237	scaffold_seqid184
scaffold_238	scaffold_seqid185
scaffold_239	scaffold_seqid186
scaffold_240	scaffold_seqid187
scaffold_241	scaffold_seqid188
scaffold_242	scaffold_seqid189
scaffold_243	scaffold_seqid190
scaffold_244	scaffold_seqid191
scaffold_246	scaffold_seqid192
scaffold_247	scaffold_seqid193
scaffold_248	scaffold_seqid194
scaffold_249	scaffold_seqid195
scaffold_250	scaffold_seqid196
scaffold_251	scaffold_seqid197
scaffold_252	scaffold_seqid198
scaffold_253	scaffold_seqid199
scaffold_254	scaffold_seqid200
scaffold_255	scaffold_seqid201
scaffold_256	scaffold_seqid202
scaffold_257	scaffold_seqid203
scaffold_258	scaffold_seqid204
scaffold_259	scaffold_seqid205
scaffold_260	scaffold_seqid206
scaffold_261	scaffold_seqid207
scaffold_262	scaffold_seqid208
scaffold_264	scaffold_seqid209
scaffold_265	scaffold_seqid210
scaffold_266	scaffold_seqid211
scaffold_267	scaffold_seqid212
scaffold_268	scaffold_seqid213
scaffold_269	scaffold_seqid214
scaffold_270	scaffold_seqid215
scaffold_271	scaffold_seqid216
scaffold_272	scaffold_seqid217
scaffold_273	scaffold_seqid218
scaffold_274	scaffold_seqid219
scaffold_275	scaffold_seqid220
scaffold_276	scaffold_seqid221
scaffold_277	scaffold_seqid222
scaffold_278	scaffold_seqid223
scaffold_279	scaffold_seqid224
scaffold_280	scaffold_seqid225
scaffold_281	scaffold_seqid226
scaffold_282	scaffold_seqid227
scaffold_283	scaffold_seqid228
scaffold_284	scaffold_seqid229
scaffold_285	scaffold_seqid230
scaffold_286	scaffold_seqid231
scaffold_287	scaffold_seqid232
scaffold_288	scaffold_seqid233
scaffold_289	scaffold_seqid234
scaffold_290	scaffold_seqid235
scaffold_292	scaffold_seqid236
scaffold_293	scaffold_seqid237
scaffold_294	scaffold_seqid238
scaffold_295	scaffold_seqid239
scaffold_296	scaffold_seqid240
scaffold_297	scaffold_seqid241
scaffold_298	scaffold_seqid242
scaffold_299	scaffold_seqid243
scaffold_300	scaffold_seqid244
scaffold_301	scaffold_seqid245
scaffold_302	scaffold_seqid246
scaffold_303	scaffold_seqid247
scaffold_304	scaffold_seqid248
scaffold_305	scaffold_seqid249
scaffold_306	scaffold_seqid250
scaffold_307	scaffold_seqid251
scaffold_308	scaffold_seqid252
scaffold_309	scaffold_seqid253
scaffold_310	scaffold_seqid254
scaffold_311	scaffold_seqid255
scaffold_312	scaffold_seqid256
scaffold_313	scaffold_seqid257
scaffold_314	scaffold_seqid258
scaffold_315	scaffold_seqid259
scaffold_316	scaffold_seqid260
scaffold_317	scaffold_seqid261
scaffold_318	scaffold_seqid262
scaffold_319	scaffold_seqid263
scaffold_320	scaffold_seqid264
scaffold_321	scaffold_seqid265
scaffold_322	scaffold_seqid266
scaffold_323	scaffold_seqid267
scaffold_324	scaffold_seqid268
scaffold_325	scaffold_seqid269
scaffold_326	scaffold_seqid270
scaffold_327	scaffold_seqid271
scaffold_328	scaffold_seqid272
scaffold_329	scaffold_seqid273
scaffold_330	scaffold_seqid274
scaffold_331	scaffold_seqid275
scaffold_332	scaffold_seqid276
scaffold_333	scaffold_seqid277
scaffold_334	scaffold_seqid278
scaffold_335	scaffold_seqid279
scaffold_336	scaffold_seqid280
scaffold_337	scaffold_seqid281
scaffold_338	scaffold_seqid282
scaffold_339	scaffold_seqid283
scaffold_340	scaffold_seqid284
scaffold_341	scaffold_seqid285
scaffold_342	scaffold_seqid286
scaffold_343	scaffold_seqid287
scaffold_344	scaffold_seqid288
scaffold_345	scaffold_seqid289
scaffold_346	scaffold_seqid290
scaffold_347	scaffold_seqid291
scaffold_348	scaffold_seqid292
scaffold_350	scaffold_seqid293
